Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
3,h,600000,22/05/2016,14.5,3047,1,2,647,173,1960
2,u,625500,26/08/2017,12,3073,1,2,343,111,1960
4,h,1670000,17/09/2016,13.1,3128,4,4,707,162,1926
3,h,2299500,12/8/2017,10.2,3147,2,3,634,230,1940
4,h,2090000,25/02/2017,7.9,3079,3,2,608,315,1980
2,u,902000,27/05/2017,7.2,3184,1,0,702,86,1940
3,h,1305000,20/05/2017,9.8,3040,1,2,147,,
2,u,400000,22/05/2016,5.9,3055,1,1,0,,
2,u,750000,12/11/2016,2.5,3067,2,1,0,94,2009
4,t,2300000,3/6/2017,15.2,3191,2,2,604,166,1940
3,h,1385000,27/05/2017,14.3,3109,2,3,654,149,1966
4,h,723000,16/09/2017,18.4,3029,2,2,872,,
4,h,1310000,27/06/2016,5.5,3070,2,1,355,,
3,t,1215000,29/07/2017,17.3,3193,2,2,314,,
2,h,1045000,4/3/2017,5.1,3181,1,2,118,,1993
3,h,657500,7/5/2016,12.6,3020,1,1,513,116,1955
3,u,422500,30/07/2016,12.4,3060,2,1,195,91,2000
3,u,1392000,13/05/2017,11.2,3186,2,1,188,,
2,u,445000,29/04/2017,12.4,3060,1,1,196,,
5,h,960000,15/07/2017,18.8,3170,2,1,731,130,1965
2,u,725000,13/08/2016,13,3204,1,1,227,100,1990
4,h,1362000,19/08/2017,21.5,3195,2,3,549,,
2,u,520000,22/05/2016,3.8,3207,1,1,0,70,2005
2,u,595000,12/8/2017,6.2,3123,1,1,0,,
2,t,770000,14/05/2016,4.2,3031,2,1,0,,
2,u,650000,16/07/2016,5.1,3181,2,1,0,,
4,h,1336000,26/07/2016,7.8,3012,2,1,343,109,1920
3,h,850000,13/08/2016,7,3013,1,1,444,,
3,h,1350000,18/03/2017,5.9,3032,1,3,575,,
2,u,950000,28/05/2016,2.3,3051,2,1,0,2,
4,h,1500000,12/8/2017,7.5,3040,2,2,465,148,1940
4,h,465000,26/08/2017,20.6,3064,2,1,417,,1999
3,t,755000,27/05/2017,8.5,3044,1,2,234,,1993
1,u,440000,29/04/2017,6.6,3183,1,0,0,,1940
2,u,503000,29/07/2017,19.6,3076,2,2,214,115,2000
4,t,1320000,27/11/2016,13,3204,3,3,346,220,2010
3,u,453350,8/7/2017,18.4,3029,2,1,315,,
2,u,792000,3/6/2017,3.1,3003,1,1,0,,
2,u,446000,16/04/2016,8,3040,1,1,0,,
3,t,965000,24/09/2016,13.9,3165,2,1,283,28,2010
2,t,1055000,20/05/2017,11.2,3186,1,2,211,,1970
4,h,565000,12/8/2017,20.6,3064,2,2,482,207,2012
4,h,826000,3/9/2016,9.2,3012,2,2,308,185,2012
2,h,677000,27/11/2016,1.6,3065,1,0,67,,1850
2,t,890000,7/5/2016,13.7,3188,2,2,181,,
2,u,510000,16/04/2016,4.5,3057,1,1,0,,
4,h,660000,8/7/2017,18,3037,2,2,724,,
2,u,812000,4/3/2017,9.7,3103,1,1,206,,
2,u,598000,25/02/2017,6.3,3143,1,1,0,88,1970
2,u,730000,11/2/2017,5.8,3078,1,1,116,,1985
4,t,838000,29/04/2017,9.2,3012,2,2,294,194,
3,h,935000,15/10/2016,9.2,3012,1,2,485,,
2,u,415000,15/10/2016,8,3016,1,1,0,,
3,h,1120000,4/3/2017,13.8,3018,1,2,506,120,1930
2,u,468000,29/07/2017,7.5,3040,1,1,0,,
3,h,760000,8/7/2017,12,3073,1,1,606,,
4,h,2230000,10/9/2016,8,3016,2,2,782,212,1900
2,h,335000,17/09/2016,8.7,3032,1,1,0,99,
2,u,543000,17/06/2017,7.2,3184,1,1,0,74,1960
1,u,499000,28/05/2016,4.6,3122,1,1,0,56,1960
1,u,535000,8/4/2017,4.6,3122,1,1,918,50,2006
4,h,1200000,8/4/2017,8.8,3072,3,2,466,,
2,u,517500,4/3/2017,4.6,3142,1,1,0,,
3,t,1565000,16/04/2016,3.8,3207,1,2,188,,
2,u,660000,17/06/2017,10.1,3163,1,1,109,,
3,h,477000,3/9/2017,14,3047,1,1,627,97,1960
3,t,502000,22/07/2017,15.5,3038,2,2,198,143,2004
1,u,330000,3/6/2017,10.1,3163,1,1,0,,
3,t,555000,27/05/2017,12.9,3043,2,2,286,,
3,h,1351000,28/05/2016,13.1,3128,1,2,662,,
3,h,816000,3/6/2017,22.2,3172,2,2,533,122,1980
3,t,922000,9/9/2017,10.1,3163,2,2,219,,
3,h,1267000,22/07/2017,14.2,3149,2,4,714,,
3,h,532000,27/06/2016,12.4,3060,1,1,614,,
5,h,1090000,15/07/2017,16.7,3150,2,2,698,246,1978
1,u,345000,15/10/2016,11.4,3163,1,1,0,,
2,u,600000,13/08/2016,5.2,3056,1,1,768,,1970
3,h,1105000,7/5/2016,8.7,3032,1,4,762,142,1950
2,u,950000,22/04/2017,3.8,3207,2,1,98,,2005
3,u,960000,15/07/2017,11.7,3148,2,2,382,151,2000
2,h,1680000,24/06/2017,3.6,3068,1,1,185,,
2,u,771000,8/4/2017,7.8,3124,1,1,512,,
3,t,1110000,3/9/2016,11.2,3127,2,2,401,129,1970
3,h,887000,8/4/2017,9.2,3058,1,2,560,,
3,h,1700000,18/06/2016,5.2,3056,2,1,0,195,1945
2,u,863000,4/3/2017,3.3,3141,2,1,742,,1950
2,u,460000,27/05/2017,5.2,3055,1,1,54,60,1970
5,h,1000000,28/05/2016,13.3,3020,2,1,786,295,1999
3,u,690000,15/10/2016,14,3166,1,2,340,103,1930
1,u,410000,8/4/2017,3.3,3141,1,0,0,,
2,u,512000,11/3/2017,8.8,3072,1,1,145,,
6,h,2620000,10/12/2016,8,3040,4,2,860,355,1930
2,u,913000,8/4/2017,9,3126,1,1,0,,
2,t,960000,29/04/2017,6.5,3071,2,2,158,133,2007
2,u,655000,10/9/2016,3.8,3207,2,1,0,83,2000
3,t,538000,22/05/2016,12.4,3060,2,2,217,,
4,h,1926000,17/06/2017,9.7,3104,2,2,639,,
3,u,1326000,8/10/2016,1.6,3066,2,1,0,190,2013
2,u,645000,1/7/2017,16,3190,1,1,105,64,1970
3,t,820000,15/07/2017,16.2,3094,2,2,260,157,2010
4,h,981000,19/08/2017,11.7,3033,2,2,633,,
2,h,1085000,17/06/2017,9.5,3034,1,3,780,,
3,u,910000,7/11/2016,13.9,3108,2,2,299,135,2001
2,u,570000,12/11/2016,8.1,3161,1,1,0,67,
2,u,892500,7/5/2016,11.2,3186,1,2,232,92,1970
3,h,1284000,4/3/2017,5.9,3032,1,2,623,,1938
4,h,1158000,23/04/2016,7,3013,1,3,411,96,1910
3,t,1320000,29/04/2017,4.6,3142,2,1,3,131,1970
2,u,635000,24/09/2016,13,3204,1,2,118,,
2,u,635000,25/02/2017,3.3,3141,1,1,855,,
2,u,422000,17/06/2017,11.2,3046,1,1,136,,1980
3,h,2790000,20/05/2017,2.6,3052,2,1,180,120,1890
3,h,1061000,18/03/2017,7.8,3058,1,1,527,,
2,u,291000,9/9/2017,19.6,3076,1,1,161,,
2,h,1470000,3/6/2017,17.3,3193,1,4,633,116,1960
4,h,3015000,29/07/2017,5.4,3101,2,2,813,276,1970
4,h,505000,3/9/2017,20.6,3064,2,2,406,,
3,h,1600000,3/12/2016,2.6,3121,2,1,115,,
4,h,1900000,8/7/2017,11.4,3204,2,2,700,210,1920
3,h,1001000,16/07/2016,6.6,3011,1,1,256,,
3,h,990000,27/06/2016,13.9,3108,1,1,746,,
3,h,1635000,3/9/2016,11.2,3186,1,2,366,156,1920
3,h,1605000,27/11/2016,8.5,3185,1,1,418,152,1890
3,h,967500,18/03/2017,7.8,3012,1,1,325,,
3,h,1505000,12/11/2016,6.9,3039,2,2,249,168,2007
3,u,700000,18/06/2016,11.2,3042,1,1,202,,
2,u,462500,16/07/2016,13.5,3042,1,1,164,,2003
1,u,305000,8/4/2017,11.4,3163,1,1,0,46,1960
2,u,465000,13/08/2016,13.1,3128,2,1,0,65,2010
2,u,796000,22/07/2017,10.1,3163,1,2,0,86,1975
2,u,500000,13/05/2017,4.4,3031,1,1,0,72.9,1970
3,t,1260000,27/06/2016,7.5,3102,2,2,284,,1990
1,u,468000,13/05/2017,5.6,3101,1,1,0,,
3,h,465000,26/08/2017,20.6,3064,1,1,338,,2004
3,t,917500,20/05/2017,4.2,3031,1,1,98,101,1997
3,h,535000,15/07/2017,14.8,3023,1,0,675,,
3,t,747000,24/09/2016,8.4,3015,2,2,753,170,2005
4,h,1175000,17/06/2017,21.3,3135,2,1,842,135,1960
2,u,657500,19/11/2016,4.6,3122,1,1,728,73,1965
1,u,316000,20/05/2017,6.4,3078,1,1,0,,
3,t,750000,15/10/2016,13.1,3128,2,1,150,3,2000
2,h,1008000,6/8/2016,3.5,3068,1,1,150,77,1890
5,h,1905000,18/03/2017,5.9,3032,2,2,521,,
3,h,770000,8/4/2017,14.7,3167,1,1,590,132,1960
2,h,1035000,8/4/2017,14.6,3189,1,1,593,,
2,u,801000,6/8/2016,3.3,3141,2,1,0,,2000
2,t,1190000,27/05/2017,4.6,3181,1,2,57,,
3,t,962000,3/12/2016,8.4,3015,2,2,283,179,2011
3,h,625000,10/9/2016,9.2,3058,1,2,104,138,2014
3,h,927000,12/6/2016,7.7,3015,1,0,274,131,1910
2,u,617000,27/05/2017,24.8,3156,2,1,306,120,2011
3,h,825000,16/04/2016,5.2,3056,1,1,210,130,1900
5,h,1188000,26/08/2017,23,3136,2,2,864,294,1980
3,h,900000,24/09/2016,8.2,3012,2,3,446,,2006
3,t,1400000,12/11/2016,4.6,3122,2,2,299,,1960
2,u,336000,3/12/2016,11.2,3073,1,1,99,67,1970
4,h,1289000,17/06/2017,14.3,3189,2,1,532,,
1,u,597000,18/06/2016,1.6,3065,1,1,0,,2000
3,t,910000,12/11/2016,14.6,3189,2,2,312,,
4,h,1515000,8/4/2017,6.9,3039,2,3,574,203,1910
3,u,720000,3/9/2016,1.2,3006,1,1,0,106,1993
2,h,1016500,10/9/2016,3.8,3207,1,1,131,,
3,h,600000,8/10/2016,13,3046,1,2,702,,
4,t,1250800,27/05/2017,14.2,3149,2,2,243,,
2,u,822000,8/4/2017,12.2,3147,1,1,78,59,1970
4,h,2110000,8/4/2017,7.8,3124,1,3,572,150,1910
4,h,2800000,3/9/2016,13.7,3188,3,2,701,320,2015
2,u,778500,28/05/2016,11.2,3127,1,1,170,78,1960
3,h,1911000,4/3/2017,7.7,3184,1,2,327,,1900
4,h,925000,9/9/2017,14.7,3152,3,4,534,176,1975
2,u,616000,16/07/2016,13.1,3128,1,1,155,,
4,h,1685000,9/9/2017,5.3,3070,1,1,442,112,1920
3,t,815000,24/06/2017,4.3,3032,2,2,198,130,1990
3,h,860000,27/05/2017,12,3073,1,2,627,136,1950
4,h,1165000,16/09/2017,17.9,3192,2,2,594,,
2,t,480000,8/7/2017,23,3136,1,1,2040,,
3,h,797000,9/9/2017,24.8,3156,2,1,626,145,1995
4,h,1675000,18/03/2017,9.2,3104,2,2,667,201,1974
3,h,1509000,28/05/2016,13.8,3107,2,2,812,158,1960
1,u,210000,18/03/2017,7.8,3012,1,1,0,36,1970
3,u,960000,13/05/2017,11.8,3204,2,2,199,167,1995
2,u,756000,15/10/2016,11.2,3186,1,1,0,80,1920
3,u,1336000,3/6/2017,10.5,3186,2,1,249,,
1,u,895000,22/07/2017,1.3,3002,1,1,0,60,1990
2,u,316000,27/06/2016,6.4,3011,1,1,0,55,1960
3,h,1430000,11/2/2017,6.5,3071,1,3,705,,
3,h,870000,22/08/2016,7.8,3058,1,1,371,100,1980
2,u,550000,8/7/2017,3,3067,1,1,1521,,
2,u,444000,18/06/2016,7.5,3123,1,1,0,68,1970
2,u,655000,18/06/2016,3.8,3207,1,1,0,86,2006
2,u,875500,18/03/2017,13.7,3188,2,1,225,118,1970
2,t,779000,24/09/2016,3.8,3207,1,1,0,,
3,h,1220000,28/08/2016,4.5,3181,2,1,112,100,1900
2,u,730000,12/8/2017,14.2,3149,1,1,292,,
2,u,496000,13/05/2017,9.9,3044,1,1,136,,
2,u,585000,15/07/2017,16.1,3088,1,1,240,79,1965
2,u,681000,27/11/2016,4.5,3181,2,1,0,95,1995
2,u,626000,17/09/2016,8.5,3185,1,1,1764,100,1930
2,u,737000,27/06/2016,11.4,3163,1,1,165,,1990
2,u,666000,29/07/2017,2.4,3121,1,1,0,60,
2,h,1143000,22/08/2016,6.5,3071,1,2,431,,
2,u,602000,3/12/2016,6.1,3182,1,0,0,66,1930
3,u,1245000,28/05/2016,10.7,3187,2,1,227,,1998
3,h,556000,24/06/2017,14,3047,1,1,627,,
2,t,710000,29/07/2017,7.2,3184,1,1,0,,1980
2,t,779000,17/09/2016,7.9,3079,1,2,152,,1970
2,u,525500,11/2/2017,6.5,3071,1,1,724,72,1975
4,h,1540000,27/05/2017,10.1,3163,2,2,589,199,1920
5,h,1950000,3/9/2017,9.7,3104,3,2,743,0,1949
2,u,480000,3/6/2017,7.2,3184,1,1,1210,65,1968
3,h,1200000,8/4/2017,5.2,3056,1,1,318,,1927
3,u,672000,27/06/2016,11.2,3073,1,2,855,,
3,h,690000,27/11/2016,12.4,3083,1,2,556,,
2,u,676000,6/5/2017,5.8,3078,1,1,0,87,2002
2,u,503500,16/04/2016,6.1,3182,1,1,683,72,1940
3,u,820000,3/9/2016,11.4,3163,1,2,0,96,1989
4,h,1830000,26/08/2017,11.4,3204,2,1,567,,1929
2,t,1350000,17/06/2017,1.3,3002,2,1,87,115,2005
3,u,1240000,7/11/2016,8.5,3185,2,2,319,123,1990
3,h,545000,24/06/2017,38,3199,2,2,571,,
2,h,1080000,12/8/2017,23,3136,1,1,1474,,
3,h,1400000,7/11/2016,6.9,3039,2,2,597,,
2,u,1100000,12/11/2016,11.2,3186,1,2,0,85,1935
2,u,831000,15/10/2016,11.2,3127,1,1,982,,
3,h,1765000,17/09/2016,2.6,3121,1,2,332,,
4,h,1774500,14/05/2016,9.3,3162,2,2,575,256,2008
4,h,1390000,8/7/2017,14.3,3109,3,2,664,,
3,h,572000,23/04/2016,11.2,3073,1,2,41400,,
3,h,740000,27/05/2017,38,3199,1,1,650,,
3,h,629500,29/07/2017,11.2,3046,1,1,610,,
3,t,1065000,28/05/2016,2.3,3051,2,1,64,,2008
2,t,640000,11/3/2017,11.1,3025,1,1,252,,1965
2,h,716000,3/6/2017,7.2,3185,1,1,0,,1970
2,h,1001000,26/07/2016,9.3,3162,2,1,255,85,1890
3,h,1612000,30/07/2016,4.5,3181,2,0,146,139,1900
4,t,1202000,17/06/2017,12.4,3108,3,0,403,,
2,h,941000,7/5/2016,2.5,3067,1,0,181,,
4,h,980000,26/08/2017,38,3199,2,2,937,191,1960
5,h,1607500,20/05/2017,8,3040,3,1,695,,
2,h,981000,25/02/2017,11.8,3204,1,1,533,,
2,h,1120000,14/05/2016,8.4,3015,1,3,574,,
2,u,710000,8/4/2017,13,3204,1,3,225,,
4,h,646000,29/04/2017,15,3021,2,2,658,198,1980
3,t,750000,12/6/2016,12.1,3046,2,2,301,251,2011
4,h,1210000,16/09/2017,6.2,3015,1,0,325,160,1983
4,h,1200000,16/07/2016,7,3013,2,2,417,157,1900
3,h,1385000,1/7/2017,14.2,3149,1,2,807,167,1970
3,u,605000,25/02/2017,13.8,3018,1,2,181,,
3,h,1370000,28/05/2016,7.8,3058,1,1,563,130,1930
2,u,627500,13/08/2016,3.3,3141,1,1,0,85,1970
3,h,996000,27/05/2017,8.4,3072,1,2,581,,
3,u,780000,8/4/2017,7.5,3123,1,1,0,,
2,u,526000,10/9/2016,9.7,3103,1,1,0,73,1960
2,u,442000,10/12/2016,4.2,3031,2,1,3448,71,2010
3,h,1110000,10/12/2016,13.9,3165,1,4,612,,
2,u,757500,19/11/2016,6.1,3182,1,1,0,,
1,u,400500,13/05/2017,7.5,3123,1,1,71,,
3,h,1860000,19/11/2016,9.1,3040,2,2,311,,
2,h,1007000,27/06/2016,11.2,3042,1,1,646,,
2,u,560000,16/07/2016,4.6,3122,1,1,0,70,2013
3,u,800000,10/12/2016,11.2,3042,2,1,0,,
1,u,390000,14/05/2016,2.6,3121,1,1,0,40,2011
3,u,850000,17/06/2017,14.3,3109,2,1,236,145,1980
2,u,560000,29/07/2017,17.9,3192,1,2,182,,
3,h,1675000,25/02/2017,7.7,3184,1,1,345,,
3,h,580000,26/08/2017,14.8,3023,2,2,461,174,2000
2,u,600000,20/05/2017,6.5,3071,1,1,0,59,1960
3,h,710000,13/05/2017,13,3046,1,2,587,,
2,u,475000,8/10/2016,2.3,3051,1,1,0,,
3,h,1850000,22/08/2016,2.6,3121,2,1,203,112,1900
3,h,1365000,7/5/2016,8,3040,1,1,754,,
4,u,753000,13/08/2016,13.9,3108,1,1,241,105,1970
3,h,853000,8/10/2016,6.4,3011,1,1,0,141,2010
4,h,650000,15/07/2017,22.7,3174,1,2,660,,
2,u,635000,8/10/2016,9.7,3103,1,1,0,70,2014
2,u,850000,22/04/2017,3.3,3141,2,2,17200,,2000
1,u,399000,1/7/2017,4.6,3181,1,0,0,,
2,u,920000,18/03/2017,3.3,3141,2,0,0,,
3,t,815000,8/4/2017,11.2,3073,2,2,213,1,2012
1,u,680000,17/09/2016,2.8,3000,1,2,0,102,1965
4,h,605000,23/09/2017,31.7,3429,2,2,738,192,2000
2,u,482000,29/04/2017,6.1,3182,1,1,0,54,2004
3,h,500000,22/07/2017,31.7,3429,1,3,678,127,1975
3,t,525000,1/7/2017,10.5,3020,2,1,177,,
3,h,475000,18/06/2016,11.2,3073,1,1,535,133,1970
3,t,1030000,18/03/2017,13.9,3165,2,2,327,,
2,u,645000,13/05/2017,4.5,3181,1,1,2842,84,1920
3,t,905000,20/05/2017,13.6,3148,1,2,418,132,1955
4,h,2525000,8/4/2017,14,3166,2,0,1143,,
2,h,962000,1/7/2017,1.8,3051,1,0,91,2,
2,t,931000,16/09/2017,2,3066,1,1,109,90,2001
2,u,785000,24/09/2016,9.2,3146,1,1,0,,
2,u,1480000,12/8/2017,3.5,3207,2,2,0,,2000
3,h,840000,3/12/2016,6.4,3011,1,0,164,93,1900
2,u,350000,22/05/2016,5.2,3056,1,1,0,,
3,u,800000,28/05/2016,13.9,3165,2,2,261,,
2,h,900000,22/08/2016,6.5,3071,1,1,497,,
2,t,486500,8/10/2016,13.9,3165,1,1,0,75,1960
4,h,1290000,11/3/2017,4.5,3057,2,2,468,,
2,u,479000,4/3/2017,2.6,3121,1,1,534,,1970
5,h,1180000,23/09/2017,23,3136,3,3,857,285,2012
2,h,747000,19/11/2016,6.4,3011,1,1,320,94,1900
3,h,780000,3/6/2017,12.1,3083,1,1,546,,
2,h,460000,27/11/2016,12.1,3046,1,4,360,,
1,u,440000,6/5/2017,4.6,3122,1,1,0,51,1960
3,t,702000,28/08/2016,11.7,3125,2,1,170,106,2001
2,u,770000,7/11/2016,11.2,3127,1,1,156,,1960
3,h,1050000,25/02/2017,4.5,3181,2,1,8216,130,1995
2,u,535000,18/06/2016,12.2,3147,1,1,72,,
4,t,1465000,18/06/2016,13.9,3165,2,2,319,256,2015
3,h,1090000,27/11/2016,12.1,3163,2,2,553,138,1960
2,u,623000,10/9/2016,13,3166,1,1,101,90,1970
3,h,1300000,8/4/2017,9.1,3040,3,2,240,240,2013
3,u,798000,15/10/2016,8.8,3072,2,2,212,,2005
5,h,715000,28/08/2016,13.5,3020,2,2,654,,
2,u,492500,3/9/2016,13.9,3108,1,1,65,,1975
3,h,1260000,19/11/2016,4.2,3031,2,2,250,147,1900
2,t,735000,24/09/2016,5.9,3055,1,2,120,109,2004
2,u,600000,12/11/2016,2.1,3205,1,1,0,,
3,h,773000,6/8/2016,9.5,3081,1,2,626,93,1955
1,u,315000,27/11/2016,11.2,3145,1,1,0,46,1940
2,u,472000,25/02/2017,14.5,3188,1,1,215,68,2007
2,h,1424000,8/4/2017,11.4,3163,1,1,575,,
3,u,605000,26/07/2016,8.8,3072,1,2,192,,
2,u,690000,14/05/2016,12.2,3147,1,1,216,90,2003
4,h,2077000,7/11/2016,9.2,3146,2,3,553,143,1910
3,h,690500,3/6/2017,10.5,3020,1,0,637,,
3,t,1137000,19/11/2016,9.2,3104,2,2,349,,
2,u,500000,27/05/2017,6.2,3123,1,1,1324,72,1970
2,u,691000,15/10/2016,2.6,3121,2,1,0,85,2008
3,h,1581000,28/05/2016,3.5,3068,1,0,193,132,1910
2,u,950000,10/12/2016,11.8,3204,1,1,0,,
2,h,1026000,3/9/2016,5.2,3056,1,0,225,108,1905
2,u,695000,4/6/2016,10.4,3163,2,1,0,,
4,h,602000,26/08/2017,18.4,3029,2,2,603,150,1985
1,u,301000,17/06/2017,4.3,3032,1,1,887,45,1972
3,h,1510000,29/04/2017,13.9,3165,1,2,689,,
2,u,520000,8/7/2017,23.2,3153,1,1,158,69,1975
2,u,600000,18/03/2017,12.2,3147,1,1,153,80,1970
3,u,813000,29/07/2017,15.4,3131,2,2,266,134,2001
3,h,1037000,3/9/2016,4.2,3031,1,1,188,106,1910
2,h,826000,16/07/2016,10.8,3019,1,2,667,,1950
3,h,575000,17/09/2016,13.5,3020,1,2,686,,
3,h,1045000,8/4/2017,8.8,3072,1,2,513,,
4,h,1245000,26/08/2017,16.7,3150,2,2,652,,1981
2,h,1417500,27/05/2017,7.8,3161,1,2,307,103,1900
3,h,607500,18/06/2016,12.6,3020,1,2,487,,
2,u,315000,26/08/2017,18.4,3029,1,1,150,,
4,h,1182500,27/11/2016,13.8,3107,2,2,650,150,1975
4,h,2100000,20/05/2017,4.6,3122,1,2,383,,
2,u,850000,3/6/2017,17.9,3192,1,2,0,81,1970
4,h,1155000,19/08/2017,16.7,3150,1,1,654,,
3,h,1255000,15/10/2016,5.9,3032,2,2,308,,
3,h,711100,8/7/2017,14,3021,1,2,743,,
3,t,765000,17/06/2017,11,3018,2,2,200,139,2007
3,h,2395000,18/03/2017,3.3,3141,1,2,442,,
3,h,1950000,15/07/2017,16.7,3168,1,2,734,,
3,u,1457500,18/03/2017,13.7,3188,2,2,0,,
1,u,400000,18/06/2016,3.3,3141,1,1,0,45,1960
3,h,990000,29/04/2017,7.8,3058,1,3,414,153.1,1930
3,h,620000,22/07/2017,18,3037,2,2,360,,2000
2,u,840000,25/02/2017,3.3,3141,2,1,0,92,2002
3,u,622000,15/07/2017,14.7,3152,1,1,137,71,2012
3,h,532000,7/11/2016,9.4,3081,1,1,390,86,1955
3,h,771000,20/05/2017,10.8,3019,1,0,556,,
3,h,2360000,18/03/2017,6.3,3143,2,0,336,,
3,h,1535000,15/10/2016,11.8,3204,1,2,578,140,1935
3,h,500000,10/9/2016,13,3046,1,1,589,,
3,h,1165000,12/11/2016,13.9,3165,1,1,732,,
2,t,600000,4/3/2017,9.2,3058,1,1,145,105,2010
3,h,1040000,17/09/2016,8.8,3072,1,2,555,,
3,h,712000,3/6/2017,13.1,3060,1,2,603,94.3,1960
2,h,916000,24/09/2016,5.2,3056,1,0,1328,,1890
2,u,693000,16/07/2016,7.8,3124,1,1,84,,
2,u,566000,9/9/2017,18,3095,1,1,845,,
4,h,1810000,28/05/2016,13.9,3108,2,4,769,240,1970
3,t,998000,8/4/2017,13,3166,2,2,246,,2000
2,u,662000,17/09/2016,11.4,3163,2,1,0,,
3,h,650000,16/04/2016,11.2,3073,1,2,468,92,1960
2,u,725000,29/04/2017,13,3204,1,1,0,115,2006
3,h,1025000,3/6/2017,7.5,3040,2,2,203,156,2016
2,u,582000,3/9/2016,2.6,3121,1,1,0,75,2001
4,h,1120000,3/6/2017,15.5,3167,2,2,564,161,1975
4,h,921000,26/07/2016,14.6,3189,1,2,592,,
2,u,845000,22/08/2016,7.9,3079,2,2,147,,1980
2,h,1180000,23/04/2016,4.5,3181,1,0,214,215,1900
3,h,1500000,27/11/2016,5.8,3078,1,1,0,126,1910
2,u,516000,3/9/2016,13,3166,1,1,0,76,1970
3,h,1126000,18/03/2017,6.6,3011,1,0,357,,
2,u,507000,3/6/2017,7.5,3040,1,1,0,80,1960
3,t,1582000,25/02/2017,2.6,3121,3,2,119,184,2005
2,u,600000,29/07/2017,21.5,3195,1,1,0,,1967
2,u,898000,19/11/2016,13.7,3188,1,1,266,,1970
3,h,1400000,27/11/2016,10.6,3084,1,1,827,109,1952
3,h,730000,24/06/2017,16.1,3088,2,2,563,,
3,u,487500,27/06/2016,5.9,3032,1,3,0,,1972
3,h,2000000,15/10/2016,2.1,3205,2,1,161,141,1890
3,h,625000,23/09/2017,19.6,3076,1,2,534,113,1990
2,u,532000,29/04/2017,7.5,3123,1,1,0,,
3,h,860000,16/07/2016,11.4,3084,1,2,583,,
3,h,847000,20/05/2017,6.6,3011,1,1,205,,
3,h,1470000,18/03/2017,1.6,3066,2,0,150,,
3,h,1340000,10/9/2016,13,3204,2,1,526,135,1910
3,t,800000,8/7/2017,5.1,3011,2,2,0,,
1,u,455500,24/09/2016,3.8,3207,1,1,0,,2002
3,t,1472000,16/07/2016,9.7,3103,2,2,306,170,1995
2,t,620000,10/12/2016,5.2,3056,2,1,72,2,
2,u,645000,12/11/2016,4.6,3122,1,1,0,,
3,t,700000,27/06/2016,7.9,3079,2,1,189,110,1990
4,h,1201000,10/12/2016,6.6,3011,2,1,299,158,1910
2,u,442000,7/5/2016,9.1,3040,1,1,0,,
2,u,639000,19/11/2016,14.6,3189,1,1,83,79,1960
2,u,630000,29/04/2017,2.6,3121,2,1,3512,,2011
2,h,927000,4/2/2016,9.2,3012,1,4,524,139,
3,h,725000,20/05/2017,9.2,3012,2,2,260,,
2,u,570000,20/05/2017,4.5,3181,1,1,479,,
2,h,745000,6/5/2017,8,3040,1,1,342,,
2,t,775000,27/11/2016,7.8,3124,2,1,103,,
2,u,625000,7/11/2016,11.4,3163,1,1,78,,
3,h,1708000,4/3/2017,11.8,3204,1,1,703,,
2,u,530000,10/9/2016,13.5,3042,1,1,120,94,2012
3,u,691000,24/06/2017,8.4,3072,1,1,170,,
2,t,510000,17/09/2016,9.9,3044,1,1,110,91,2013
3,u,805000,17/09/2016,3.3,3141,2,3,6111,,
3,u,855000,4/3/2017,13,3166,1,2,0,,
2,u,1155000,17/09/2016,7.4,3144,2,2,0,,2002
2,u,566000,15/07/2017,4.3,3032,1,1,1017,,1972
3,h,1170000,12/8/2017,10.4,3125,1,3,590,,
3,h,620000,22/07/2017,15.5,3028,1,2,466,107,1975
2,h,1500000,15/07/2017,13.4,3130,1,1,1021,,
1,u,291000,27/06/2016,12.1,3163,1,1,0,44,
2,u,495000,6/5/2017,7.8,3058,1,0,388,69,1960
2,u,646500,22/04/2017,13.1,3128,1,1,156,,1980
2,u,678000,4/3/2017,6.3,3143,1,2,0,,
3,h,995000,16/04/2016,6.5,3071,1,1,327,96,1920
2,u,445000,22/07/2017,22.7,3174,1,3,197,82,1998
3,h,711000,14/05/2016,14.9,3087,1,2,658,,
2,u,656000,22/07/2017,16.7,3150,1,1,345,120,2012
3,h,875000,8/4/2017,9.2,3058,1,1,592,,
3,u,715000,8/4/2017,8.8,3072,1,1,210,,1996
3,t,792000,16/09/2017,20,3194,2,2,156,,
3,u,930000,24/06/2017,7.5,3040,2,1,223,146,2002
2,h,1582000,15/10/2016,7.5,3123,2,2,358,,
2,t,539000,8/7/2017,11.2,3046,2,2,160,,
4,t,1185000,3/9/2017,7.5,3040,3,1,205,168,2010
4,h,2115000,19/08/2017,7.9,3103,2,2,766,,
4,h,1255000,9/9/2017,12.4,3108,2,1,670,,
2,h,810000,28/05/2016,7.8,3058,1,1,370,,
4,h,950000,15/07/2017,25,3155,2,4,2033,255,1970
2,u,630000,20/05/2017,9.3,3162,1,1,0,71,2003
2,u,466000,25/02/2017,6.5,3071,1,1,909,,
5,t,645000,20/05/2017,13,3046,1,1,227,152,2013
